dir,spd,spd_cat,dir_sector
340,3,2-4,NNW
320,1,0-2,NW
340,1,0-2,NNW
290,1,0-2,W
50,1,0-2,NE
320,1,0-2,NW
320,1,0-2,NW
340,1,0-2,NNW
340,1,0-2,NNW
340,1,0-2,NNW
320,1,0-2,NW
50,1,0-2,NE
20,1,0-2,N
340,1,0-2,NNW
340,1,0-2,NNW
320,1,0-2,NW
340,1,0-2,NNW
340,2,2-4,NNW
0,3,2-4,N
320,1,0-2,NW
320,2,2-4,NW
320,1,0-2,NW
0,1,0-2,N
20,1,0-2,N
0,2,2-4,N
20,1,0-2,N
340,2,2-4,NNW
140,1,0-2,SE
50,1,0-2,NE
140,1,0-2,SE
0,1,0-2,N
290,1,0-2,W
320,1,0-2,NW
340,1,0-2,NNW
320,1,0-2,NW
290,1,0-2,W
290,3,2-4,W
320,3,2-4,NW
290,1,0-2,W
290,1,0-2,W
320,3,2-4,NW
290,4,4-6,W
290,1,0-2,W
290,1,0-2,W
290,1,0-2,W
250,2,2-4,WSW
320,3,2-4,NW
320,1,0-2,NW
320,5,4-6,NW
290,4,4-6,W
250,1,0-2,WSW
320,4,4-6,NW
180,1,0-2,S
340,1,0-2,NNW
320,2,2-4,NW
320,1,0-2,NW
340,1,0-2,NNW
320,4,4-6,NW
320,1,0-2,NW
70,2,2-4,ENE
0,2,2-4,N
340,1,0-2,NNW
320,2,2-4,NW
20,1,0-2,N
20,2,2-4,N
70,1,0-2,ENE
20,2,2-4,N
290,1,0-2,W
50,2,2-4,NE
50,1,0-2,NE
20,1,0-2,N
320,1,0-2,NW
340,2,2-4,NNW
320,3,2-4,NW
320,4,4-6,NW
20,1,0-2,N
320,1,0-2,NW
340,1,0-2,NNW
50,1,0-2,NE
20,1,0-2,N
20,3,2-4,N
20,3,2-4,N
340,2,2-4,NNW
290,1,0-2,W
340,2,2-4,NNW
340,1,0-2,NNW
20,2,2-4,N
50,1,0-2,NE
50,2,2-4,NE
50,2,2-4,NE
20,2,2-4,N
20,3,2-4,N
50,2,2-4,NE
340,2,2-4,NNW
290,2,2-4,W
340,2,2-4,NNW
20,3,2-4,N
50,3,2-4,NE
50,4,4-6,NE
50,3,2-4,NE
50,3,2-4,NE
0,1,0-2,N
340,3,2-4,NNW
340,3,2-4,NNW
340,2,2-4,NNW
340,3,2-4,NNW
20,5,4-6,N
320,1,0-2,NW
320,2,2-4,NW
340,1,0-2,NNW
340,1,0-2,NNW
340,2,2-4,NNW
340,1,0-2,NNW
340,2,2-4,NNW
320,1,0-2,NW
320,1,0-2,NW
340,1,0-2,NNW
340,1,0-2,NNW
340,1,0-2,NNW
0,1,0-2,N
50,1,0-2,NE
20,2,2-4,N
20,1,0-2,N
320,1,0-2,NW
50,2,2-4,NE
50,3,2-4,NE
320,1,0-2,NW
20,5,4-6,N
320,1,0-2,NW
340,1,0-2,NNW
320,1,0-2,NW
0,1,0-2,N
50,3,2-4,NE
20,3,2-4,N
20,3,2-4,N
0,1,0-2,N
20,1,0-2,N
340,1,0-2,NNW
340,1,0-2,NNW
20,1,0-2,N
140,1,0-2,SE
340,1,0-2,NNW
340,1,0-2,NNW
340,1,0-2,NNW
290,1,0-2,W
320,1,0-2,NW
270,1,0-2,W
290,1,0-2,W
320,2,2-4,NW
320,3,2-4,NW
290,1,0-2,W
290,1,0-2,W
290,4,4-6,W
320,1,0-2,NW
320,1,0-2,NW
320,4,4-6,NW
320,2,2-4,NW
290,2,2-4,W
320,1,0-2,NW
290,3,2-4,W
290,4,4-6,W
250,1,0-2,WSW
320,4,4-6,NW
290,4,4-6,W
290,2,2-4,W
320,3,2-4,NW
320,3,2-4,NW
320,6,6-8,NW
290,5,4-6,W
270,1,0-2,W
320,1,0-2,NW
50,1,0-2,NE
320,2,2-4,NW
340,1,0-2,NNW
0,1,0-2,N
320,3,2-4,NW
340,1,0-2,NNW
320,4,4-6,NW
0,1,0-2,N
320,2,2-4,NW
270,1,0-2,W
340,1,0-2,NNW
320,1,0-2,NW
110,1,0-2,E
340,1,0-2,NNW
20,1,0-2,N
340,1,0-2,NNW
340,1,0-2,NNW
20,1,0-2,N
50,2,2-4,NE
340,1,0-2,NNW
20,1,0-2,N
70,3,2-4,ENE
50,1,0-2,NE
20,1,0-2,N
20,1,0-2,N
340,2,2-4,NNW
340,1,0-2,NNW
340,2,2-4,NNW
290,5,4-6,W
290,2,2-4,W
320,2,2-4,NW
50,2,2-4,NE
70,2,2-4,ENE
70,3,2-4,ENE
20,3,2-4,N
20,4,4-6,N
340,3,2-4,NNW
340,2,2-4,NNW
340,2,2-4,NNW
340,1,0-2,NNW
20,1,0-2,N
340,1,0-2,NNW
70,2,2-4,ENE
50,1,0-2,NE
340,1,0-2,NNW
50,1,0-2,NE
50,3,2-4,NE
70,2,2-4,ENE
340,2,2-4,NNW
340,1,0-2,NNW
340,2,2-4,NNW
20,2,2-4,N
50,2,2-4,NE
50,2,2-4,NE
50,3,2-4,NE
50,3,2-4,NE
0,2,2-4,N
20,2,2-4,N
340,2,2-4,NNW
340,4,4-6,NNW
340,2,2-4,NNW
340,4,4-6,NNW
20,7,6-8,N
340,1,0-2,NNW
340,1,0-2,NNW
340,1,0-2,NNW
340,1,0-2,NNW
0,1,0-2,N
0,1,0-2,N
340,2,2-4,NNW
340,1,0-2,NNW
340,1,0-2,NNW
340,1,0-2,NNW
20,1,0-2,N
20,3,2-4,N
20,3,2-4,N
50,3,2-4,NE
20,2,2-4,N
20,2,2-4,N
20,1,0-2,N
50,1,0-2,NE
20,2,2-4,N
20,3,2-4,N
0,2,2-4,N
50,1,0-2,NE
110,1,0-2,E
90,3,2-4,E
50,4,4-6,NE
20,3,2-4,N
20,2,2-4,N
70,1,0-2,ENE
140,2,2-4,SE
140,2,2-4,SE
140,1,0-2,SE
140,1,0-2,SE
140,1,0-2,SE
140,1,0-2,SE
70,1,0-2,ENE
140,1,0-2,SE
140,1,0-2,SE
160,1,0-2,SSE
90,2,2-4,E
20,2,2-4,N
70,3,2-4,ENE
20,3,2-4,N
20,1,0-2,N
140,1,0-2,SE
160,2,2-4,SSE
160,2,2-4,SSE
160,1,0-2,SSE
160,1,0-2,SSE
320,1,0-2,NW
20,3,2-4,N
20,3,2-4,N
20,1,0-2,N
160,1,0-2,SSE
140,1,0-2,SE
160,1,0-2,SSE
140,1,0-2,SE
140,1,0-2,SE
20,3,2-4,N
20,3,2-4,N
320,1,0-2,NW
20,3,2-4,N
20,3,2-4,N
20,1,0-2,N
110,1,0-2,E
140,1,0-2,SE
110,1,0-2,E
20,3,2-4,N
20,1,0-2,N
110,1,0-2,E
70,1,0-2,ENE
20,3,2-4,N
20,3,2-4,N
70,1,0-2,ENE
110,1,0-2,E
140,1,0-2,SE
110,1,0-2,E
20,1,0-2,N
110,1,0-2,E
140,1,0-2,SE
140,1,0-2,SE
110,1,0-2,E
20,3,2-4,N
20,2,2-4,N
20,1,0-2,N
110,1,0-2,E
140,1,0-2,SE
140,1,0-2,SE
140,1,0-2,SE
140,1,0-2,SE
20,3,2-4,N
50,3,2-4,NE
70,1,0-2,ENE
50,2,2-4,NE
140,1,0-2,SE
140,1,0-2,SE
140,1,0-2,SE
140,1,0-2,SE
110,1,0-2,E
140,1,0-2,SE
140,1,0-2,SE
160,2,2-4,SSE
160,1,0-2,SSE
