dir,spd
340,3
320,1
340,1
290,1
50,1
320,1
320,1
340,1
340,1
340,1
320,1
50,1
20,1
340,1
340,1
320,1
340,1
340,2
360,3
320,1
320,2
320,1
360,1
20,1
360,2
20,1
340,2
140,1
50,1
140,1
360,1
290,1
320,1
340,1
320,1
290,1
290,3
320,3
290,1
290,1
320,3
290,4
290,1
290,1
290,1
250,2
320,3
320,1
320,5
290,4
250,1
320,4
180,1
340,1
320,2
320,1
340,1
320,4
320,1
70,2
360,2
340,1
320,2
20,1
20,2
70,1
20,2
290,1
50,2
50,1
20,1
320,1
340,2
320,3
320,4
20,1
320,1
340,1
50,1
20,1
20,3
20,3
340,2
290,1
340,2
340,1
20,2
50,1
50,2
50,2
20,2
20,3
50,2
340,2
290,2
340,2
20,3
50,3
50,4
50,3
50,3
360,1
340,3
340,3
340,2
340,3
20,5
320,1
320,2
340,1
340,1
340,2
340,1
360,1
20,3
340,2
320,2
160,1
20,1
20,2
340,2
320,2
340,3
340,3
340,3
340,2
340,2
320,1
340,1
20,1
320,1
360,2
50,3
340,1
70,2
320,1
20,3
340,1
340,1
340,1
20,3
20,3
340,1
50,3
360,2
320,1
340,1
20,5
320,3
20,1
160,1
360,1
290,1
20,1
200,1
290,3
290,3
340,1
20,1
180,1
320,2
340,1
290,4
290,5
320,2
360,1
320,1
290,3
290,3
290,2
320,3
320,2
290,2
320,1
290,2
320,1
320,3
360,1
20,1
20,1
320,1
320,1
340,2
340,1
320,3
340,1
340,1
270,1
160,1
340,1
340,1
160,1
340,1
340,1
20,3
20,2
20,2
340,1
20,3
340,1
340,3
340,3
320,2
320,3
320,2
320,2
360,2
20,1
20,3
340,2
320,1
360,1
360,4
50,4
50,2
20,1
50,1
20,1
340,1
340,2
360,2
50,3
20,4
50,4
20,3
20,4
340,3
340,2
320,1
320,1
340,2
360,1
50,2
50,2
20,2
50,4
50,5
20,3
20,4
340,2
320,1
20,1
340,1
50,2
20,2
340,1
340,2
340,2
20,2
20,1
20,5
20,4
340,2
340,2
340,1
20,4
340,2
340,2
340,1
340,1
340,1
340,1
160,1
140,1
200,3
200,3
180,2
340,1
160,2
160,1
160,2
340,2
20,2
340,1
140,2
160,2
360,1
20,1
340,1
340,1
340,1
160,1
20,1
160,4
50,3
340,1
340,4
320,1
340,1
340,1
320,1
340,1
340,2
140,1
360,1
340,1
290,2
290,1
340,2
290,1
360,1
20,1
270,1
290,1
290,3
320,1
340,3
340,1
160,3
160,1
340,1
340,1
340,1
340,1
340,1
320,4
290,1
250,2
290,2
270,1
320,3
340,1
270,2
320,1
360,1
340,2
50,1
290,2
180,3
20,1
340,1
320,1
320,2
50,2
320,2
340,3
290,8
200,3
200,4
320,1
320,1
340,1
320,2
70,3
50,3
70,3
50,3
360,2
50,2
50,2
50,1
50,3
320,2
320,3
50,3
50,2
50,3
50,4
360,4
360,2
320,2
340,1
340,1
20,1
20,4
320,2
50,1
70,3
50,3
50,4
50,6
70,7
360,4
340,7
340,3
340,3
